#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-100.344406,86,149.897018
-147.464423,116,150.018689
-107.297134,84,150.11584
-57.958242,120,150.247928
-127.898949,99,150.373404
-74.828253,105,150.486814
-160.469493,75,150.568886
-121.458788,63,150.646012
-154.606044,76,150.729468
-101.595155,72,150.805777
-76.842229,67,150.883295
-295.007183,115,151.00915
-93.234878,126,151.155145
-136.376209,114,151.278685
-139.421851,137,151.440824
-113.614629,94,151.557284
-127.787937,129,151.700557
-68.322642,129,151.840938
-104.542284,84,151.93551
-105.363053,118,152.120018
-125.50151,112,152.299768
-157.554646,154,152.562108
-60.817982,103,152.724472
-66.610375,133,152.93978
-86.621231,86,153.074528
-130.109663,118,153.251993
-133.598935,1000,153.971516
-143.755801,1000,154.620891
-118.890451,1000,155.084672
-142.530794,1000,155.544293
-208.149451,579,155.820218
-45.998392,75,155.911854
-145.345579,98,156.02564
-82.531415,136,156.183262
-24.675064,68,156.25572
-40.254281,141,156.401389
-95.792372,72,156.482783
-128.899741,68,156.553405
-96.544001,94,156.645924
-93.644003,134,156.806772
-76.579316,90,156.911834
21.814004,78,156.9975
-114.189463,125,157.130608
-73.276676,112,157.249745
-67.501248,81,157.338339
-98.142384,96,157.434963
-268.698553,88,157.526048
-235.116868,105,157.636685
-128.620179,99,157.756849
-66.88179,145,157.923369
-108.60095,82,158.012621
-101.337098,101,158.125002
-166.642749,110,158.252745
-77.706852,89,158.343207
-96.375472,98,158.445819
-57.636325,95,158.542484
-91.565183,126,158.67752
-120.055917,109,158.807819
-83.952474,122,158.941543
-86.458505,83,159.026573
-95.569294,105,159.151592
-139.677582,95,159.249226
-182.780421,91,159.346801
-137.112182,97,159.454686
-73.877548,65,159.534975
-141.400229,79,159.619619
-72.053449,152,159.787054
-72.409734,125,159.942235
-84.439521,61,160.010453
-128.74799,80,160.097403
-80.461345,68,160.170879
-73.311512,116,160.298473
-66.548874,74,160.383713
-115.769828,112,160.506827
-59.957697,113,160.628437
-68.173672,100,160.731741
-67.457346,89,160.827404
-111.578511,79,160.927709
-86.119202,63,166.472457
-124.012613,90,166.486698
-101.229573,64,166.497458
-115.74947,56,166.506462
-88.517632,92,166.523843
-115.187387,114,166.541524
-227.027881,101,166.557229
-302.862448,81,166.569932
-329.692345,119,166.588877
-386.361478,94,166.606732
-134.129187,85,166.623368
-423.00086,98,166.639687
-220.372264,69,166.651922
-74.534955,95,166.666535
-202.213736,54,166.675209
-190.828202,123,166.694902
-87.820076,85,166.709396
-276.360654,98,166.724467
-90.247584,66,166.734756
-133.458785,63,166.745036
-209.56043,106,166.761781
-151.525981,115,166.779424
-99.396053,109,166.79698
-305.970614,81,166.809992
-144.984655,72,166.821877
-300.869912,82,166.834382
-81.017499,68,166.847636
-132.714708,107,166.868877
-237.618412,82,166.882462
-93.351539,90,166.896053
-382.128207,83,166.908651
-251.470816,117,166.925955
-96.34423,71,166.937851
-108.902561,121,166.956794
-170.080957,102,166.97243
-149.322066,98,166.987312
-122.112343,77,166.999957
-294.204677,83,167.013044
-420.908829,86,167.034277
-106.337643,134,167.064325
-137.069407,76,167.076764
-93.847511,72,167.088011
-385.863809,98,167.102725
-161.590048,91,167.116757
-150.824971,89,167.133291
-452.530197,69,167.144565
-494.589321,94,167.159401
-497.722855,129,167.179957
-213.856084,81,167.195827
-277.730484,87,167.209203
-398.938473,101,167.224833
-123.141084,77,167.236821
-248.468665,97,167.252541
-103.205521,80,167.265188
-223.488154,113,167.282151
-96.661803,98,167.298106
-135.61461,72,167.309953
-97.984805,92,167.324167
-691.52866,99,167.381455
-410.835695,87,167.420968
-534.333016,203,167.514059
-649.98955,215,167.61983
-366.863029,163,167.694784
-103.407718,110,167.713538
-136.786645,81,167.726291
-380.286012,97,167.741732
-195.44997,114,167.759249
-108.585618,78,167.771373
-116.056289,84,167.784266
-105.418095,61,167.794731
-394.912791,92,167.809778
-90.464959,83,167.822687
-111.368877,74,167.834239
-78.396222,78,167.847114
-121.290551,66,167.857561
-72.292991,67,167.868131
-462.581139,87,167.881495
-190.430415,90,167.89595
-150.334812,70,167.907818
-120.26218,72,167.921398
-58.228008,72,167.93284
-340.731111,110,167.953063
-116.020635,70,167.964072
-116.879584,74,167.976585
-136.158681,74,167.987923
-380.516093,109,168.005645
-72.994522,76,168.017748
-215.107127,81,168.030368
-115.786974,76,168.042165
-429.230655,87,168.057825
-317.861035,108,168.087508
-34.671116,128,168.109907
-113.483148,68,168.120658
-224.866335,94,168.137231
-114.95621,68,168.14821
-95.764864,78,168.161216
-346.816683,122,168.179821
-110.64142,83,168.196172
-244.542288,81,168.208878
-202.688139,126,168.228071
-99.137892,110,168.244664
-97.518254,67,168.256368
-242.83951,90,168.270401
-287.979912,88,168.284222
-370.336162,87,168.297866
-237.995131,94,168.314094
-190.199764,56,168.322964
-129.973331,85,168.335873
-300.254468,101,168.355836
-130.712666,69,168.369423
-127.736097,83,168.382395
-120.5079,70,168.39339
-213.696562,76,168.405306
-108.697704,113,168.423362
-131.283371,77,168.435024
-89.342607,96,168.449404
-66.873233,72,168.46064
-360.736395,85,168.475071
-326.355696,80,168.48927
-342.327438,107,168.506052
-81.075757,82,168.518917
-62.294763,67,168.53191
-214.574084,106,168.548886
-355.295948,119,168.567934
-123.698569,82,168.580939
-165.964019,122,168.601264
-75.295735,76,168.613521
-187.878283,94,168.628294
-59.989473,67,168.638853
-133.325628,137,168.661097
-103.522087,60,168.671287
-68.041201,57,168.680308
-217.17862,147,168.702734
-226.275238,90,168.717592
-102.389495,104,168.733544
-97.207522,67,168.743952
-104.450527,60,168.753613
-117.357943,98,168.769501
-371.404073,74,168.780941
-213.048937,60,168.790709
-170.366178,100,168.807014
-154.162056,116,168.825342
-213.264023,72,168.836399
-93.484423,67,168.846899
-100.994937,73,168.85831
-65.146891,146,168.880806
-294.921891,73,168.892271
-76.187853,64,168.902245
-86.795005,70,168.913277
-124.423105,101,168.930361
-283.177365,93,168.944511
-88.976504,62,168.954534
-92.940548,72,168.966737
-119.643709,97,168.982372
-113.860087,105,168.998411
-127.063826,64,169.008423
-77.575959,82,169.021241
-91.061783,83,169.034909
-324.557326,122,169.053482
-101.908759,103,169.069489
-286.233207,114,169.086566
-501.113826,140,169.120345
-134.608103,86,169.141275
-153.684157,106,169.157212
-156.57719,105,169.173131
-274.037209,112,169.192606
-70.274394,120,169.212427
-403.521602,103,169.227779
-208.86143,69,169.238756
-119.57112,88,169.25304
-281.603081,99,169.268822
-131.010276,76,169.280456
-75.217518,79,169.293703
-142.835641,117,169.312103
-189.377321,72,169.323266
-706.492484,139,169.40071
-637.35927,78,169.437523
-665.304772,208,169.536893
-519.48076,70,169.570013
-608.747473,80,169.610983
-155.477674,101,169.631019
-233.940531,77,169.643062
-99.314924,68,169.654582
-225.116579,103,169.670427
-395.876262,85,169.683563
-117.022524,100,169.700602
-462.737463,110,169.717808
-207.899798,190,169.746687
-200.102671,115,169.763765
-95.400293,81,169.776032
-373.86039,126,169.795994
-164.6616,108,169.811922
-52.068763,66,169.825416
-176.636062,73,169.836929
-339.188654,88,169.851364
-263.083079,90,169.865319
-69.857882,64,169.875205
-92.6927,77,169.888007
-390.612473,106,169.90479
-26.386183,115,169.922923
-207.16495,70,169.933727
-282.913519,88,169.947987
-88.621216,60,169.958281
-124.878714,118,169.97611
-57.661122,67,169.986651
-385.90504,95,170.000837
-126.727626,104,170.017373
-157.117907,115,170.035509
-121.407351,77,170.048305
-140.343322,84,170.061218
-433.283701,126,170.081182
-238.772846,87,170.096974
-233.791697,90,170.114444
-179.215554,89,170.130413
-524.711174,113,170.158688
-104.000082,73,170.177038
-412.034314,104,170.192769
-151.003151,95,170.210328
-115.710669,58,170.220321
-166.112272,109,170.237573
-176.907469,75,170.249098
-130.787761,104,170.265356
-150.040487,125,170.284809
-211.784484,121,170.303094
-154.955337,93,170.317286
-129.536332,125,170.335898
-359.04327,100,170.351627
-93.46062,101,170.366895
-110.08532,75,170.378522
-108.182078,67,170.423064
-118.013707,93,170.518137
-64.814776,73,170.599644
-111.445621,68,170.668196
-86.337215,66,170.730054
-24.916379,74,170.803471
-142.88826,89,170.891584
-251.445072,106,170.992245
-268.150905,80,171.069433
-418.244417,110,171.187514
-460.028257,94,171.299545
-142.818526,104,171.408091
-388.222387,101,171.514248
-370.841147,80,171.603615
-328.405268,88,171.695519
